name,site,company,salary,eduBackground,techRequire
java,北京·朝阳区·农业展览馆,开发者科技,12-14K,"1-3年
本科",后端工程师Springto B农业数字化springcloud
Java,北京·丰台区·科技园区,旭阳数字,13-18K·13薪,"3-5年
本科",分布式技术容器技术
Java,北京·昌平区·天通苑,北京龙寰科技有限公司,20-21K,"在校/应届
本科",JavaC语言Python汇编语言
Java,北京·海淀区·颐和园,分享通信,15-30K,"经验不限
本科",MVC开发多线程架构师SpringNoSQLMySQL
Java,北京·东城区·东直门,玩吧,30-50K·15薪,"5-10年
本科",MySQL分布式技术微服务架构后端开发社交Java
Java,北京·海淀区·人民大学,青石绿网,6-11K,"1-3年
本科",HadoopJavaLinux
Java,北京·海淀区·苏州街,序源基因,20-25K,"3-5年
本科",JavaSpringMySQLRedisNoSQLMongoDBLinux
Java,北京·朝阳区·国贸,央视国际视通,12-16K·14薪,"3-5年
本科",Java
Java,北京·海淀区·马连洼,明亚科技,15-20K,"3-5年
本科",分布式技术SpringRedisMongoDBMemcached
Java,北京·门头沟区·永定,众合九通,10-11K,"1-3年
本科",JavaScriptHTMLObjective-C
Java,北京·大兴区·亦庄,北京霄飞科技有限公司,9-14K,"3-5年
大专",Java
Java,北京·西城区·西便门,惠而好创业,11-15K,"3-5年
本科",SpringOracleJava分布式技术Mybatis
Java,北京·朝阳区·二外,安乾国际大数据,20-35K,"3-5年
本科",数据结构SQL多线程微服务架构SpringRedis
Java,北京·朝阳区·常营,北京轻易科技有限...,8-13K,"经验不限
学历不限",Java
Java,北京·丰台区·科技园区,大瑞集思,8-11K,"1-3年
本科",SQLHTML微服务架构SpringMySQLLinuxJava
java,北京·顺义区·后沙峪,法本,20-25K,"3-5年
本科",Java
Java,北京·朝阳区·望京,北京美小美科技有...,15-25K,"5-10年
本科",Java中大型项目架构设计经验SpringCloud分布式技术
Java,北京·海淀区·西北旺,光大科技,11-18K,"3-5年
本科",Java开发经验Java中大型项目架构设计经验MySQL
Java,北京·海淀区·中关村,合思,15-16K·16薪,"3-5年
大专",后端开发WEB开发MySQLRedis
Java,北京·朝阳区·管庄,友益思,15-20K,"5-10年
大专",后端工程师JavaSpringRedisJava开发经验
Java,北京·海淀区·上地,坤和致清,13-16K·13薪,"1-3年
本科",企业级应用开发
