,name,site,company,salary,eduBackground,experience,techRequire
196,Java,北京·海淀区·上地,启明星辰,14571.0,大专,1-3年,多线程MVC开发
197,java,北京·海淀区·万柳,大惠堂,8000.0,本科,1-3年,JavaLinux
198,Java,北京·大兴区·亦庄,国汽智图,27857.0,本科,5-10年,分布式技术微服务架构SpringBootSpringCloud
199,Java,北京·海淀区·人民大学,启航龙图,19285.0,本科,经验不限,Java微服务架构数据结构容器技术算法基础Spring
200,Java,北京·海淀区·花园桥,贝倍科技,22500.0,本科,5-10年,分布式技术UnixNoSQLRedis微服务架构架构师
201,Java,北京·朝阳区·国贸,北京小质电子商务...,20000.0,本科,1-3年,SpringBootSpringCloudSpringMVCMySQL
202,Java,北京·昌平区·立水桥,正匠科技,12000.0,大专,3-5年,消息队列SpringSpringBootSpringCloudRedis
203,Java,北京·海淀区·知春路,软树,12500.0,本科,1-3年,JavaSpringSSMMySQLOracle后端开发
204,Java,北京·海淀区·西北旺,腾讯,34285.0,本科,5-10年,分布式技术微服务架构网络协议Spring后端开发
205,Java,北京·朝阳区·酒仙桥,人人车,25000.0,本科,5-10年,多线程分布式技术SpringBoot
206,Java,北京·昌平区·西三旗,企慧盈,12500.0,本科,1-3年,多线程
207,JAVA,北京·通州区·九棵树,百奥利盟,8500.0,本科,经验不限,后端工程师Java计算机/软件工程相关经验Java开发经验
208,Java,北京·海淀区·双榆树,多点DMALL,19285.0,本科,3-5年,SpringSpringMVCDubboSpringBoot分布式技术
209,Java,北京·朝阳区·工体,羊旅国际,22500.0,本科,1-3年,全栈开发Web端计算机软件PythonJava
210,Java,北京·昌平区·二拨子村,北京鲁邦斯特,10500.0,本科,经验不限,SQL后端开发
211,Java,北京·丰台区·科技园区,国通租赁,15000.0,本科,1-3年,Java后端开发ERP
212,Java,北京·东城区·东直门,轻松集团,26500.0,本科,3-5年,JavaSpring计算机软件分布式技术微服务架构
213,java,北京·海淀区·西北旺,中软国际,15500.0,本科,3-5年,后端工程师JavaSpringJava开发经验
214,Java,北京·朝阳区·太阳宫,BOSS直聘,19285.0,本科,1-3年,后端工程师JavaSpringMySQLJava开发经验
215,Java,北京·朝阳区·国贸,inDeco,23571.0,本科,5-10年,多线程微服务架构搜索引擎技术消息队列分布式技术
216,Java,北京·朝阳区·望京,天成金汇,20000.0,本科,3-5年,Java分布式技术MVC开发多线程微服务架构
217,Java,北京·海淀区·牡丹园,比弗斯科技,10000.0,本科,1-3年,JavaJavascript后端开发
218,Java,北京·朝阳区·东坝,新德汇,14500.0,本科,3-5年,SpringBootSpringCloudElasticses
219,Java,北京·海淀区·西北旺,微博,25714.0,本科,5-10年,Java微服务架构SpringSpringBootSpringCloud
220,Java,北京·大兴区·亦庄,京东集团,34285.0,本科,3-5年,Java开发经验Java中大型项目架构设计经验MyBatis
221,Java,北京·朝阳区·燕莎,瑞友科技,17500.0,本科,3-5年,SQL微服务架构MVC开发SpringNoSQLMongoDB
222,Java,北京·朝阳区·安贞,快看漫画,32142.0,本科,5-10年,多线程分布式技术微服务架构SpringDubboMySQL
223,Java,北京,露天,7500.0,本科,在校/应届,JavaJavascriptSpring
224,Java,北京·朝阳区·善各庄,尔湾科技,21428.0,本科,5-10年,音视频编解码Rtmp协议CDN直播微服务架构后端开发
225,Java,北京·朝阳区·三元桥,河狸家,22500.0,本科,经验不限,SpringDubboSpringBoot分布式技术消息队列
226,Java,北京·丰台区·科技园区,华建精诚,16500.0,本科,3-5年,SpringBootDubboRedisMySQL后端开发Linux
227,Java,北京·东城区·北京站,美菜,27500.0,本科,1-3年,Java分布式技术消息队列SpringDubboSpringMVC
228,Java,北京·石景山区·金顶街,中瑞数通,23000.0,大专,3-5年,JavaSpringRedisJava开发经验分布式系统开发经验
229,Java,北京·海淀区·五道口,盈金石科技,9000.0,大专,1-3年,架构师MVC开发JQuerySpringDubboLinux
230,Java,北京·海淀区·清河,北京昂林科技,17142.0,大专,3-5年,Java分布式技术多线程微服务架构网络编程
231,java,北京·顺义区·光明,锐聘,12500.0,本科,3-5年,Java
232,Java,北京·西城区·金融街,申万宏源证券,22500.0,硕士,3-5年,微服务架构SpringBootOracle后端开发
233,Java,北京·朝阳区·和平街,东道设计,10000.0,大专,3-5年,Web端Java微服务架构服务器配置负载均衡技术
234,Java,北京·朝阳区·亚运村,方胜有成,20000.0,本科,5-10年,JavaJavaScriptHTMLMySQLSQL
235,Java,北京,航天信息,14500.0,本科,1-3年,软件工程师Web端JavaScriptJavaSQL多线程
236,Java,北京·朝阳区·安贞,蓝色坐标,17500.0,本科,3-5年,Hadoop网络爬虫Java
237,JAVA,北京,鸿链科技,10714.0,本科,1-3年,分布式技术SpringBoot微服务架构SpringCloudJAVA
238,Java,北京·朝阳区·对外经贸,北京中软金卡,12500.0,本科,1-3年,计算机软件中级软件工程师软件工程师初级软件工程师
239,Java,北京·海淀区·中关村,国科智安,18428.0,本科,3-5年,SQLShellSpringBootRedisMySQLSpringCloud
240,Java python,上海·浦东新区·金桥,上海华为技术有限公司,25000.0,本科,1-3年,Python后端开发Java
241,Java leader,上海·闵行区·虹桥,职聊网,37500.0,本科,5-10年,微服务架构架构师高级软件工程师后端开发
242,java -mina,上海·浦东新区·张江,仁竹信息科技,17500.0,本科,5-10年,后端工程师网络编程mina
243,JAVA 开发,上海·浦东新区·金桥,趣野科技,4500.0,本科,3-5年,Java算法基础后端开发
244,Java Leader,上海·浦东新区·张江,上海云摩企业管理咨询,13000.0,学历不限,3-5年,Java团队管理英语
